[15:06:34] [Trend] EXEC: BUY 4 ADANIENT.NS @ 2,550.00 | Strat Cash: 543,382.18 | Pos: 4
[15:07:36] [Trend] EXEC: SELL 6 CIPLA.NS @ 1,574.90 | Strat Cash: 552,831.58 | Pos: 0
[15:08:37] [MeanReversion] EXEC: BUY 1 LTIM.NS @ 5,070.00 | Strat Cash: 381,062.78 | Pos: 1
[15:08:37] [Trend] EXEC: BUY 13 SBIN.NS @ 799.15 | Strat Cash: 542,442.63 | Pos: 13
[15:09:39] [Trend] EXEC: BUY 15 TATAMOTORS.NS @ 691.55 | Strat Cash: 532,069.38 | Pos: 15
[15:10:42] [Trend] EXEC: SELL 1 DIVISLAB.NS @ 6,673.50 | Strat Cash: 538,742.88 | Pos: 0
[15:10:42] [Trend] EXEC: BUY 2 HEROMOTOCO.NS @ 4,325.10 | Strat Cash: 530,092.68 | Pos: 2
[15:10:42] [Trend] EXEC: SELL 1 LTIM.NS @ 5,063.00 | Strat Cash: 535,155.68 | Pos: 0
[15:11:43] [MeanReversion] EXEC: BUY 2 ADANIENT.NS @ 2,544.90 | Strat Cash: 375,972.98 | Pos: 2
[15:11:43] [MeanReversion] EXEC: BUY 3 BAJAJFINSV.NS @ 1,970.40 | Strat Cash: 370,061.78 | Pos: 3
[15:11:43] [Trend] EXEC: BUY 15 HINDALCO.NS @ 692.45 | Strat Cash: 524,768.93 | Pos: 15
[15:11:43] [Trend] EXEC: BUY 4 HINDUNILVR.NS @ 2,453.90 | Strat Cash: 514,953.33 | Pos: 4
[15:11:43] [Trend] EXEC: SELL 7 SUNPHARMA.NS @ 1,709.60 | Strat Cash: 526,920.53 | Pos: 0
[15:12:45] [Trend] EXEC: BUY 14 UPL.NS @ 726.75 | Strat Cash: 516,746.03 | Pos: 14
[15:13:46] [MeanReversion] EXEC: BUY 7 JSWSTEEL.NS @ 1,035.60 | Strat Cash: 362,812.58 | Pos: 7
[15:14:48] [Trend] EXEC: BUY 1 EICHERMOT.NS @ 5,474.00 | Strat Cash: 511,272.03 | Pos: 1
[15:14:48] [Trend] EXEC: BUY 5 HDFCBANK.NS @ 2,019.90 | Strat Cash: 501,172.53 | Pos: 5
[15:14:48] [Trend] EXEC: BUY 6 ICICIBANK.NS @ 1,486.00 | Strat Cash: 492,256.53 | Pos: 6
[15:14:48] [Trend] EXEC: BUY 2 LT.NS @ 3,495.40 | Strat Cash: 485,265.73 | Pos: 2
[15:14:48] [MeanReversion] EXEC: SELL 11 TATAMOTORS.NS @ 692.35 | Strat Cash: 370,428.43 | Pos: 0
[15:15:49] [Trend] EXEC: BUY 9 AXISBANK.NS @ 1,067.20 | Strat Cash: 475,660.93 | Pos: 9
[15:15:49] [MeanReversion] EXEC: SELL 1 BAJAJ-AUTO.NS @ 8,127.50 | Strat Cash: 378,555.93 | Pos: 0
[15:17:55] [Trend] EXEC: BUY 58 TATASTEEL.NS @ 161.62 | Strat Cash: 466,286.97 | Pos: 58
[15:18:56] [Trend] EXEC: SELL 9 AXISBANK.NS @ 1,063.60 | Strat Cash: 475,859.37 | Pos: 0
[15:19:58] [Trend] EXEC: BUY 4 BHARTIARTL.NS @ 1,920.00 | Strat Cash: 468,179.37 | Pos: 4
[15:19:58] [MeanReversion] EXEC: SELL 3 M&M.NS @ 3,198.00 | Strat Cash: 388,149.93 | Pos: 0
